GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cpb-customer-demo-backend,com.cpb.customerdemo,Application,5,3,0,0,2,1,1,1,1,1
cpb-customer-demo-backend,com.cpb.customerdemo,TransactionController,5,38,0,0,0,9,1,3,1,3
cpb-customer-demo-backend,com.cpb.customerdemo,UserDetailsServiceImpl,29,6,0,0,7,3,2,1,2,1
cpb-customer-demo-backend,com.cpb.customerdemo,DataInitializer,0,48,2,2,0,9,2,2,0,2
cpb-customer-demo-backend,com.cpb.customerdemo,TransactionRequest,0,12,0,0,0,1,0,1,0,1
cpb-customer-demo-backend,com.cpb.customerdemo,Transaction,12,39,0,0,3,13,3,7,3,7
cpb-customer-demo-backend,com.cpb.customerdemo,CustomerController,0,16,0,0,0,5,0,3,0,3
cpb-customer-demo-backend,com.cpb.customerdemo,UserInfoController,21,6,0,0,3,3,1,1,1,1
cpb-customer-demo-backend,com.cpb.customerdemo,UserInfoController.UserInfo,9,0,0,0,1,0,1,0,1,0
cpb-customer-demo-backend,com.cpb.customerdemo,SecurityConfig,0,59,0,0,0,11,0,6,0,6
cpb-customer-demo-backend,com.cpb.customerdemo,User,24,15,0,0,7,6,7,2,7,2
cpb-customer-demo-backend,com.cpb.customerdemo,Customer,4,15,0,0,1,4,1,4,1,4
